INFO 2025-01-01 22:34:55,565 autoreload Watching for file changes with StatReloader
DEBUG 2025-01-01 22:34:55,567 autoreload Waiting for apps ready_event.
DEBUG 2025-01-01 22:34:56,274 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-01-01 22:34:56,309 autoreload Watching dir C:\Users\sasin\knoxyview\knoxyview\weather\templates with glob **/*.
DEBUG 2025-01-01 22:34:56,309 autoreload Watching dir C:\Users\sasin\knoxyview\knoxyview\templates with glob **/*.
DEBUG 2025-01-01 22:34:56,310 autoreload Watching dir C:\Users\sasin\knoxyview\knoxyview\locale with glob **/*.mo.
DEBUG 2025-01-01 22:34:56,312 autoreload Watching dir C:\Users\sasin\knoxyview\knoxyview\weather\locale with glob **/*.mo.
DEBUG 2025-01-01 22:34:56,551 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\datastructures.py first seen with mtime 1725340052.7888358
DEBUG 2025-01-01 22:34:56,552 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\backends\django.py first seen with mtime 1725340052.7298415
DEBUG 2025-01-01 22:34:56,553 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1725340048.5400002
DEBUG 2025-01-01 22:34:56,553 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\json\encoder.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,554 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\__init__.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,555 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1725340045.9335003
DEBUG 2025-01-01 22:34:56,556 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\comparison.py first seen with mtime 1725340052.5143921
DEBUG 2025-01-01 22:34:56,557 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\cache.py first seen with mtime 1725340052.7848082
DEBUG 2025-01-01 22:34:56,558 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\staticfiles\apps.py first seen with mtime 1725340052.1717856
DEBUG 2025-01-01 22:34:56,558 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\enum.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,559 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\reprlib.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,559 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1725340045.9164138
DEBUG 2025-01-01 22:34:56,560 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\files.py first seen with mtime 1725340052.2386432
DEBUG 2025-01-01 22:34:56,561 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\http\request.py first seen with mtime 1725340052.6888862
DEBUG 2025-01-01 22:34:56,561 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\storage\filesystem.py first seen with mtime 1725340052.2814474
DEBUG 2025-01-01 22:34:56,563 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\library.py first seen with mtime 1725340052.7188854
DEBUG 2025-01-01 22:34:56,563 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\wsgiref\simple_server.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,564 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\__init__.py first seen with mtime 1725340052.367428
DEBUG 2025-01-01 22:34:56,565 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\list.py first seen with mtime 1725340052.8714006
DEBUG 2025-01-01 22:34:56,566 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\asyncio\proactor_events.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,567 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\collections\abc.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,567 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_adapters.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,568 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\zipfile\_path\__init__.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,569 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\hashlib.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,571 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_collections.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,571 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\asyncio\futures.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,572 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\cache\__init__.py first seen with mtime 1725340052.208347
DEBUG 2025-01-01 22:34:56,573 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\bisect.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,574 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\concurrent\futures\_base.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,575 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1725340052.3694775
DEBUG 2025-01-01 22:34:56,575 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\transaction.py first seen with mtime 1725340052.3643804
DEBUG 2025-01-01 22:34:56,576 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\email\_policybase.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,577 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\pprint.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,578 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1725340045.9324284
DEBUG 2025-01-01 22:34:56,579 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_common.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,580 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\functional.py first seen with mtime 1725340052.8037753
DEBUG 2025-01-01 22:34:56,581 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\connection.py first seen with mtime 1735747982.8486843
DEBUG 2025-01-01 22:34:56,581 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\loaders\app_directories.py first seen with mtime 1725340052.735783
DEBUG 2025-01-01 22:34:56,582 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\email\message.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,583 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\importlib\resources\_legacy.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,584 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\__init__.py first seen with mtime 1725340052.2874815
DEBUG 2025-01-01 22:34:56,585 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1725340052.506382
DEBUG 2025-01-01 22:34:56,586 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\response.py first seen with mtime 1725340052.7228794
DEBUG 2025-01-01 22:34:56,587 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\ctypes\_endian.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,588 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1725340052.793866
DEBUG 2025-01-01 22:34:56,589 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\apps\__init__.py first seen with mtime 1725340046.2984643
DEBUG 2025-01-01 22:34:56,590 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\__init__.py first seen with mtime 1725340046.2944653
DEBUG 2025-01-01 22:34:56,591 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\operator.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,592 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\models.py first seen with mtime 1725340047.0166569
DEBUG 2025-01-01 22:34:56,592 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\__init__.py first seen with mtime 1725340052.262054
DEBUG 2025-01-01 22:34:56,593 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1725340052.2306097
DEBUG 2025-01-01 22:34:56,594 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\tkinter\constants.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,595 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\email\utils.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,596 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\email\__init__.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,597 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\utils\log.py first seen with mtime 1725340052.8147917
DEBUG 2025-01-01 22:34:56,598 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\files\locks.py first seen with mtime 1725340052.266488
DEBUG 2025-01-01 22:34:56,599 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\db\models\functions\mixins.py first seen with mtime 1725340052.5184693
DEBUG 2025-01-01 22:34:56,600 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\colorama\ansitowin32.py first seen with mtime 1734451352.9806013
DEBUG 2025-01-01 22:34:56,600 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\decorators.py first seen with mtime 1725340048.544951
DEBUG 2025-01-01 22:34:56,602 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1725340052.2406092
DEBUG 2025-01-01 22:34:56,603 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1725340048.531939
DEBUG 2025-01-01 22:34:56,604 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\email\encoders.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,605 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1725340052.8523014
DEBUG 2025-01-01 22:34:56,606 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\typing.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,606 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\template\__init__.py first seen with mtime 1725340052.7038434
DEBUG 2025-01-01 22:34:56,607 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1725340048.0251534
DEBUG 2025-01-01 22:34:56,608 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\views\generic\edit.py first seen with mtime 1725340052.870308
DEBUG 2025-01-01 22:34:56,609 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1725340052.234609
DEBUG 2025-01-01 22:34:56,610 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\email\mime\multipart.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,611 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\urllib\parse.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,612 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1735747982.84375
DEBUG 2025-01-01 22:34:56,613 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\numbers.py first seen with mtime 1722958352.0
DEBUG 2025-01-01 22:34:56,614 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\copyreg.py first seen with mtime 1722958350.0
DEBUG 2025-01-01 22:34:56,615 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1725340052.2884662
DEBUG 2025-01-01 22:34:56,616 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\sqlparse\cli.py first seen with mtime 1725340045.9104156
DEBUG 2025-01-01 22:34:56,617 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1722958396.0
DEBUG 2025-01-01 22:34:56,618 autoreload File C:\Users\sasin\AppData\Local\Programs\Python\Python312\Lib\site-packages\django\contrib\admin\apps.py first seen with mtime 1725340047.0026515
